"Drug Name","Dosage Form","USP Apparatus","Speed (RPMs)","Medium","Volume (mL)","Recommended Sampling Times (minutes)","Date Updated"
"Oxandrolone","Tablet","","","Refer to USP","","","02/09/2023"
"Oxaprozin","Tablet ","","","Refer to USP","","","03/17/2016"
"Oxazepam","Capsule","","","Refer to USP","","","05/31/2024"
"Oxcarbazepine","Tablet (Extended Release)  ","","","Develop a dissolution method","","","09/15/2023"
"Oxcarbazepine","Suspension","","","Develop a dissolution method","","","09/15/2023"
"Oxcarbazepine","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Oxybutynin","Trans-dermal","Paddle over Disk (Apparatus 5)","50","Phosphate Buffer, pH 4.5 @ 32oC","900","1, 4, 24 hours","01/03/2007"
"Oxybutynin Chloride","Tablet (Extended Release)","","","Refer to USP","","","12/24/2015"
"Oxycodone","Capsule (Extended Release) ","I (Basket)","100","22 mM Sodium Acetate buffer, pH 4.5 with 0.03% Tween 20","900","1, 2, 4, 6, 8, 12, 16, 20 and 24 hours","07/28/2016"
"Oxycodone  HCl","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Oxycodone HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Oxycodone HCl","Tablet (Extended Release) ","","","Refer to USP","","","03/17/2016"
"Oxycodone HCl/ Naloxone HCl","Tablet (Extended Release)  ","II (Paddle)","50","Simulated Gastric Fluid [SGF, pH 1.2] without enzyme","900","0.25, 0.5, 1, 2, 4, 6, 8, 10 and 12 hours","12/22/2016"
"Oxymorphone HCl","Tablets","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Oxymorphone HCl","Tablet (Extended Release) ","II (Paddle) with sinker","50","45 mM Phosphate Buffer, pH 4.5","900","1, 2, 4, 6, 8 and 10 hours","02/14/2014"
"Ozanimod HCl","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","05/12/2022"
"Pacritinib Citrate","Capsule","II (Paddle) with sinker","75","0.08 M HCl/0.034 M NaCl, pH 1.2","900","5, 10, 15 and 30","05/18/2023"
"Palbociclib","Capsule ","II (Paddle) with sinker","50","0.1 N HCl","900","10, 15, 20, 30 and 45","03/17/2016"
"Palbociclib","Tablet","II (Paddle) ","75","0.1 N HCl","900","10, 15, 20, 30 and 45","08/19/2021"
"Paliperidone","Tablet (Extended Release) ","II (Paddle)","50","Modified SGF, pH 1.0 [NaCl (0.2% w/w) in 0.0825N HCl]","500","1, 2, 4, 6, 8, 12, 14, 18 and 24 hours","08/27/2009"
"Paliperidone Palmitate","Intramuscular Suspension (Extended Release)","II (Paddle)","50","0.489% (w/v) Polysorbate 20 in 0.001 N HCl @25.0 °C.","900","1.5, 5, 8, 10, 15, 20, 30 and 45","09/01/2011"
"Paliperidone Palmitate [3-month injection]","Intramuscular Suspension (Extended Release) ","II (Paddle)","50","0.489% (w/v) Polysorbate 20 in 0.001 N HCl @25.0 °C.","900","5, 30, 60, 90, 120, 180, 240, 300 and 360","03/17/2016"
"Palonosetron HCl","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Palovarotene","Capsule","II (Paddle) with sinkers","50","5 mM Phosphate buffer, pH 8.0 with 0.5% SLS","900","5, 10, 15, 30, 45 and 60","11/01/2024"
"Pancrelipase","Capsule (Delayed Release) ","","","Refer to USP","","","03/17/2016"
"Pancrelipase","Tablet","II (Paddle) ","50","Phosphate Buffer, pH 4.5","900","10, 20, 30, 45 and 60 ","06/02/2016"
"Panobinostat Lactate","Capsule  ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Pantoprazole Sodium","Delayed Release Granules for Oral Suspension","II (Paddle)","100","Acid Stage: 0.1 N Hydrochloric Acid; Buffer Stage: 0.05 M Tribasic Sodium Phosphate (Add 250 mL of 0.2 mM Tribasic Sodium Phosphate after completion of acid stage); pH 6.8 (Method B)","Acid stage: 750;        Buffer stage: 1000 ","Acid stage: 60, 90 and 120; Buffer stage: 10, 20, 30, 45 and 60 ","10/30/2009"
"Pantoprazole Sodium","Tablet (Delayed Release) ","","","Refer to USP","","","07/21/2009"
"Paricalcitol","Capsule","I (Basket)","100","4 mg/mL (0.4%) Lauryldimethylamine N-oxide (LDAO)","500","20, 30, 45, 60","06/18/2007"
"Paromomycin Sulfate","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Paroxetine","Tablet (Extended Release)","","","Refer to USP","","","11/19/2015"
"Paroxetine HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Paroxetine HCl","Suspension","II (Paddle)","100","SGF without enzyme","900","10, 20, 30 and 45","02/13/2004"
"Paroxetine Mesylate","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Paroxetine Mesylate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Patisiran Sodium","Solution","II (Paddle)","25","Tris/EDTA buffer, pH 7.5 with 0.02% Tween 20","500","2, 5, 7, 11 and 15","03/30/2023"
"Pazopanib HCl","Tablet","II (Paddle)","75","50 mM Sodium Acetate buffer, pH 4.5, containing 0.75% SDS","900","10, 15, 30, 45 and 60","08/05/2010"
"Pemigatinib","Tablet","I (Basket)","50","0.01 N HCl","500","5, 10, 15, 20, 30 and  45","05/12/2022"
"Pemoline","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Penbutolol Sulfate","Tablet","","","Refer to USP","","","06/24/2010"
"Penicillamine","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Penicillin G Benzathine","Injectable","","","Develop a method to characterize in vitro release","","","08/19/2021"
"Penicillin V","Tablet ","","","Refer to USP ","","","06/09/2011"
"Penicillin V Potassium","Tablet ","","","Refer to USP ","","","06/09/2011"
"Pentosan Polysulfate Sodium","Capsule","","","Develop a dissolution method","","","09/15/2023"
"Pentoxifylline","Tablet (Extended Release)  ","","","Develop a dissolution method","","","01/03/2024"
"Perampanel","Suspension","II (Paddle)","50","0.1 N HCl","900 [890 mL 0.1 N HCl + 10 mL perampanel suspension]","5, 10, 15, 20 and 30","12/22/2016"
"Perampanel","Tablet","II (Paddle) ","50","0.1 N HCl ","900","5, 10, 15, 20 and  30","05/15/2014"
"Pergolide Mesylate","Tablet","II (Paddle)","50","Simulated gastric fluid TS with cysteine without enzymes","500","10, 20, 30 and 45","03/04/2006"
"Perindopril Erbumine","Tablet","II (Paddle)","50","0.1 N HCl","900","10, 20 , 30 and 45","06/20/2007"
"Perphenazine","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Phendimetrazine Tartrate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Phendimetrazine Tartrate","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Phendimetrazine Tartrate","Capsule (Extended Release)","II (Paddle)","50","1 hour - SGF w/o Enzymes; after 1 hour - SIF w/o Enzymes","900","1, 2, 4, 6 and 8 hours","06/10/2009"
"Phenelzine Sulfate","Tablet","II (Paddle) ","50","Simulated Gastric Fluid without enzymes, pH 1.2 ","900 ","10, 20, 30 and 45 ","03/25/2010"
"Phenoxybenzamine HCl","Capsule","","","Refer to USP","","","04/10/2008"
"Phentermine HCl","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Phentermine HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Phentermine HCl","Tablet (Orally Disintegrating) ","","","Develop a dissolution method","","","09/15/2023"
"Phentermine HCl/Topiramate","Capsule (Extended Release) ","","","Develop a dissolution method","","","09/15/2023"
"Phenytoin","Suspension","","","Refer to USP","","","06/18/2007"
"Phenytoin","Tablet (Chewable)","","","Develop a dissolution method","","","01/03/2024"
"Phenytoin Sodium","Capsule","","","Develop a dissolution method","","","01/03/2024"
"Phytonadione","Tablet","","","Develop a dissolution method   ","","","03/25/2010"
"Pilocarpine HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Pimavanserin Tartrate","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Pimozide","Tablet","","","Refer to USP","","","02/19/2008"
"Pindolol","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Pioglitazone HCl","Tablet","II (Paddle)","75","HCl-0.3 M KCl Buffer, pH 2.0","900","5, 10, 15 and 30","02/13/2004"
"Pirfenidone","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Pirfenidone","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Piroxicam","Capsule","","","Refer to USP","","","10/04/2012"
"Pirtobrutinib","Tablet","II (Paddle)","75","Sodium Phosphate Buffer, pH 6.8","900","5, 10, 15, 20, 30, 45 and 60","05/31/2024"
"Pitavastatin Calcium","Tablet ","I (Basket)","35","0.05 M Phosphate Buffer, pH 6.8","900","5, 10, 15, 20, 30 and 45 ","12/23/2010"
"Pomalidomide","Capsule","II (Paddle)","50","0.1 N HCl","900","10, 15, 20, 30 and 45","05/28/2015"
"Ponatinib HCl","Tablet","I (Basket)","50","pH 2.1, KCl/HCl buffer (degassed)","900","10, 15, 20, 30, 45 and 60","09/03/2015"
"Posaconazole","Tablet (Delayed Release)","II (Paddle)","75","Acid Stage: 0.01 N HCl: Buffer Stage: 50 mM phosphate buffer, pH 6.8 with 0.37 % Polysorbate 80 (after 120 minutes, to the acid stage, add 250 mL of 0.2M Phosphate Buffer, 1.46% Polysorbate 80)","Acid Stage: 750 mL; Buffer Stage 1000 mL","Acid Stage: 120; Buffer Stage: 10, 15, 20, 30 and 45","06/25/2015"
"Posaconazole","For Suspension (Delayed Release)","II (Paddle)","75","Acid stage: 0.01 N HCl; Buffer stage: pH 6.8 Phosphate buffer with 1.3% Tween 80;","Acid stage: 750 mL; Buffer stage: 1000 mL","Acid stage: 120; Buffer stage: 5, 10, 15,  20, 30 and 45","07/07/2022"
"Posaconazole","Oral Suspension","II (Paddle)","25","0.3% SLS","900","10, 20, 30 and 45","12/03/2007"
"Potassium Chloride","Tablet (Extended Release)","","","Develop a dissolution method","","","01/03/2024"
"Potassium Chloride","Capsule (Extended Release) ","","","Develop a dissolution method","","","01/03/2024"
"Potassium Citrate","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Pralsetinib","Capsule","II (Paddle) with sinker","50","50 mM Sodium Phosphate Buffer,  pH 6.8, with 0.4% w/v Cetyl Trimethylammonium Bromide (CTAB)","900","10, 20, 30, 45 and 60","07/07/2022"
"Pramipexole Dihydrochloride","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Pramipexole Dihydrochloride","Tablet (Extended Release) ","I (Basket)","100","0.05 M phosphate buffer, pH 6.8","500","1, 2, 4, 6, 9, 12, 16, 20 and 24 hours","09/02/2010"
"Prasugrel HCl","Tablet ","II (Paddle)","75","Citrate-Phosphate buffer (0.023M Citric acid+0.026M Sodium Phosphate, Dibasic), pH 4.0 ","900","10, 15, 20, 30 and 45 ","10/04/2012"
"Pravastatin Sodium","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Praziquantel","Tablet","","","Refer to USP","","","06/25/2015"
"Prazosin HCl","Capsule","","","Refer to USP","","","05/12/2022"
"Prednisolone","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Prednisolone Acetate","Ophthalmic Suspension  ","","","Develop an in vitro release method","","","05/15/2014"
"Prednisolone Sodium Phosphate","Tablet (Orally Disintegrating)","II (Paddle)","50","22 mM Sodium Acetate Buffer, pH 4.5","500","5, 15, 30, 45 and 60","09/03/2008"
"Prednisone","Tablet (Delayed Release) ","","","Develop a dissolution method","","","09/15/2023"
"Prednisone","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Pregabalin","Tablet (Extended Release)","II (Paddle)","50","0.06 M HCl","900","1, 2, 4, 6, 8, 10, 12, 16 and 24 hours","02/08/2018"
"Pregabalin","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Pretomanid","Tablet","II (Paddle)","75","0.1 N HCl with 0.5% hexadecyltrimethylammonium (HDTMA)","1000","5, 10, 15, 20, 30 and 45","04/22/2021"
"Primaquine Phosphate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Primidone","Tablet","","","Develop a dissolution method","","","11/30/2023"
"Primidone","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Procarbazine HCl","Capsules","","","Develop a dissolution method","","","09/15/2023"
"Prochlorperazine","Rectal Suppository","I (Suppository, dissolution baskets, palmieri type)","100","0.1 N HCl at 38° C","900","10, 20, 30 and 45 ","08/17/2006"
"Prochlorperazine Maleate","Tablet","II (Paddle)","75","0.1 N HCl","500","10, 20, 30, 45, 60, 75, and 90","04/22/2021"
"Progesterone","Gel","I (Basket) with Diacell sample holder","100","Methanol:water 20:80","1000","2, 4, 8, 12, 20, 24, 48 and 72 hours","03/30/2023"
"Progesterone","Vaginal Insert","II (Paddle)","50","0.25% sodium dodecyl sulfate (SDS) in DI water","900","5, 10, 15, 20 and 30 ","10/04/2012"
"Progesterone","Capsule","","","Develop a quantitative rupture test ","","","04/08/2010"
"Promethazine HCl","Rectal Suppository ","","","Develop a method to characterize in vitro release","","","10/20/2016"
"Promethazine HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Propafenone HCl","Capsule (Extended Release)","","","Refer to USP","","","11/02/2017"
"Propafenone HCl","Tablet","","","Refer to USP","","","11/02/2017"
"Propranolol HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","04/22/2021"
"Propranolol HCl","Capsule (Extended Release)","","","Refer to USP","","","07/25/2007"
"Propylthiouracil","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Protriptyline HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Protriptyline HCl","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Prucalopride Succinate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","04/22/2021"
"Pseudoephedrine HCl","Tablet (Extended Release)","","","Develop a dissolution method","","","01/03/2024"
"Pseudoephedrine HCl/Triprolidine HCl","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Pyrazinamide","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Pyridostigmine Bromide","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Pyridostigmine Bromide","Tablet (Extended Release)","","","Develop a dissolution method","","","09/15/2023"
"Pyrimethamine","Tablet","","","Refer to USP","","","06/25/2015"
"Quetiapine Fumarate","Tablet (Extended Release)","I (Basket, with 20 mesh) ","200","0.05M citric acid and 0.09 N NaOH (pH 4.8) [solution A]. At 5 hrs, pH adjusted to 6.6 by addition of 100 mL of 0.05M dibasic sodium phosphate and 0.46N NaOH [solution B] ","900 [solution A]. 1000 [final] ","1, 2, 4, 6, 8, 10, 12, 16, 20, and 24 hours ","01/31/2013"
"Quetiapine Fumarate","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Quinapril HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Quinidine Gluconate","Tablet (Extended Release)","","","Refer to USP","","","04/22/2021"
"Quinine Sulfate","Capsule","","","Refer to USP","","","01/14/2008"
"Quizartinib Dihydrochloride","Tablet","II (Paddle)","50","0.1 N HCl","900","15, 20, 30, 45, and 60","11/01/2024"
"Rabeprazole Sodium","Capsule (Delayed Release)","II (Paddle)","Acid Stage: 75 rpm; Buffer Stage: 60 rpm","Acid Stage:0.1 N HCl; Buffer Stage: 0.05 M Phosphate Buffer, pH 6.8 (After Acid Stage, add 250 mL of 0.2 mol/L trisodium phosphate solution).","Acid Stage: 750; Buffer Stage:1000","Acid Stage: 120; Buffer Stage: 10, 15, 20, 25, 30 and 45","05/15/2014"
"Rabeprazole Sodium","Tablet (Delayed Release)","II (Paddle)","100 ","700 mL 0.1 N HCl (Acid stage), after two hours add 300 mL of 0.6 M Tris buffer; adjust to pH 8.0 (Buffer stage) with 2 N HCl or 2 N NaOH . Stabilize the samples with the addition of 0.5 N NaOH ","Acid stage: 700; Buffer stage: 1000 ","Acid stage: 120; Buffer stage: 10, 20, 30, and 45  ","09/22/2011"
"Raloxifene HCl","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Raltegravir Potassium","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Raltegravir Potassium","Tablet (Chewable)","","","Develop a dissolution method","","","09/15/2023"
"Ramelteon","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Ramipril","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Ramipril","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Ranitidine HCl","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Ranitidine HCl","Capsule","","","Develop a dissolution method","","","09/15/2023"
"Ranitidine HCl","Tablet (Effervescent)","","","Develop a dissolution method   ","","","04/08/2010"
"Ranolazine","Granules (Extended Release)","II (Paddle)","50","0.1 N HCl","900","0.5, 1, 2, 3, 4, 6 and 8 hours","07/07/2022"
"Ranolazine","Tablet (Extended Release)","","","Develop a dissolution method   ","","","02/07/2019"
"Rasagiline Mesylate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Regorafenib","Tablet","II (Paddle)","75","Acetate Buffer pH 4.5 with 0.1% Sodium Dodecyl Sulfate (SDS)","900","10, 15, 20, 30 and 45","06/25/2015"
"Relugolix","Tablet","II (Paddle)","50","50 mM Citrate Buffer, pH 5.5","900","5, 10, 15, 20 and 30 ","07/07/2022"
"Repaglinide","Tablet","","","Refer to USP","","","07/25/2007"
"Repotrectinib","Capsule","II (Paddle) with sinker","75","50 mM Sodium Phosphate Buffer, pH 6.8, w/ 0.075% SLS","900","5, 10, 15, 30, 45, 60 and 75","06/23/2025"
"Resmetirom","Tablet","","","Develop a dissolution method","","","09/03/2024"
"Ribavirin","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Ribavirin","Capsule","","","Develop a dissolution method","","","09/15/2023"
"Ribociclib","Tablet","II (Paddle)","50","0.01N HCl (degassed)","900","10, 20, 30, 45 and 60","05/12/2022"
"Rifabutin","Capsule","","","Refer to USP","","","12/15/2009"
"Rifampin","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Rifamycin Sodium","Tablet (Delayed Release)","II (Paddle)","100","Acid stage: HCl 0.1 N with 0.5% w/v Macrogol Cetostearyl Ether; Buffer stage: pH 7.2 Sodium Phosphate buffer","","Acid Stage: 2 hours; Buffer Stage: 1, 2, 3 and 4 hours","04/22/2021"
"Rifapentine","Tablet","II (Paddle)","50","0.8% SLS in Phosphate Buffer, pH 7.0","900","10, 20, 30, 45, 60 and 90","02/25/2004"
"Rifaximin (200 mg)","Tablet ","II (Paddle) ","75","0.1M sodium phosphate buffer pH 7.4 containing 0.45% Sodium Lauryl Sulfate","1000","10, 20, 30, 45, 60, 90 and 120 ","07/21/2011"
"Rifaximin (550 mg)","Tablet ","II (Paddle) ","75","0.1M sodium phosphate buffer pH 7.4 containing  0.8% Sodium Lauryl Sulfate","1000","10, 20, 30, 45, 60, 90 and 120 ","07/21/2011"
"Rilpivirine HCl","Tablet ","II (Paddle)","75","0.5% Polysorbate 20 in 0.01N HCl (pH=2.0)","900","10, 20, 30, 45 and 60","08/15/2013"
"Riluzole","Suspension","II (Paddle)","35","Phosphate Buffer pH 4.5","900 [890 mL of medium + 10 mL of suspension]","5, 10, 20, 30, 45 and 60","05/12/2022"
"Riluzole","Tablet","II (Paddle)","50","0.1 N HCl","900","10, 20, 30, 45 and 60","02/18/2004"
"Rimantadine HCl","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Rimegepant Sulfate","Tablet, (Orally Disintegrating  (ODT))","II (Paddle)","50","50 mM Sodium Acetate Buffer, pH 4.5","500","5, 10, 15, 20 and  30","05/12/2022"
"Rimexolone","Ophthalmic Suspension","","","Develop a method to characterize in vitro release","","","06/30/2016"
"Riociguat","Tablet","II (Paddle)","75","pH 6.8 Phosphate Buffer with 0.1% Sodium Lauryl Sulfate [SLS]","900","5, 10, 15, 20 and  30","12/24/2015"
"Ripretinib","Tablet","II (Paddle)","75","10 mM Sodium Acetate Buffer, pH 4.5, containing 0.25% (w/v) sodium dodecyl sulfate (SDS)","900","5, 10, 15, 20, 30 and 45","05/12/2022"
"Risedronate Sodium","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Risedronate Sodium","Tablet (Delayed Release) ","II (Paddle) ","75","Acid stage: 0.1 N HCl; Buffer stage: Phosphate buffer, pH 6.8   ","Acid stage: 500; Buffer stage: 500  ","Acid stage: 120; Buffer Stage: 10, 15, 20, 30 and 45","01/26/2012"
"Risedronate Sodium/Calcium Carbonate","Tablet (Copackaged) ","","","For Risedronate Tablets: Refer to USP; For Calcium Carbonate Tablets: Refer to USP.","","","07/01/2010"
"Risperidone","For Suspension (Extended Release)","","","Develop a dissolution method using USP IV (Flow-Through Cell), and, if applicable, Apparatus II (Paddle) or any other appropriate method, for comparative evaluation by the Agency","","","01/15/2010"
"Risperidone","For Suspension, Extended Release","IV (Flow thru cell-closed loop)","","50 mM Potassium Phosphate Buffer, pH 7.4","1000","8, 24, 96, 120, 144, 168, 192, 216 and 264 hours","06/23/2025"
"Risperidone","Tablet","II (Paddle)","50","0.1 N HCl","500","10, 20, 30, 45 and 60","03/04/2006"
"Risperidone","Tablet (Orally Disintegrating)","II (Paddle)","50","0.1 N HCl","500","5, 10, 15","07/23/2004"
"Ritlecitinib Tosylate","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","11/01/2024"
"Ritonavir","Powder","I (Basket -100 mesh)","100","0.1 N HCl","900","5, 10, 15, 20 and 30","11/16/2017"
"Ritonavir","Tablet","","","Refer to USP","","","01/15/2015"
"Ritonavir","Capsule","","","Refer to USP","","","01/15/2015"
"Rivaroxaban (10 mg)","Tablet ","II (Paddle)","75","Acetate Buffer pH 4.5, 0.2% sodium dodecyl sulfate (SDS)","900","10, 15, 20, 30 and 45","01/15/2015"
"Rivaroxaban (15 and 20 mg)","Tablet ","II (Paddle)","75","Acetate Buffer pH 4.5, 0.4% SDS","900","10, 15, 20, 30 and 45","01/15/2015"
"Rivaroxaban (2.5 mg)","Tablet ","II (Paddle)","75","Acetate Buffer pH 4.5","900","10, 15, 20, 30 and 45","02/07/2019"
"Rivastigmine","Film, Transdermal","Modified USP Type VI (cylinder)","50","0. 9 % NaCl at 32º C","500","1, 2, 4, 7, 9 and 12 hours","06/10/2009"
"Rivastigmine Tartrate","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Rizatriptan Benzoate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Rizatriptan Benzoate","Tablet, (Orally Disintegrating  (ODT))","","","Develop a dissolution method","","","01/03/2024"
"Roflumilast","Tablet ","II (Paddle)","50","1.0% SDS (sodium dodecyl sulfate) in Phosphate Buffer, pH 6.8","1000","5, 10, 15, 20, 30 and 45","08/15/2013"
"Rolapitant HCl","Tablet","II (Paddle)","50","0.05 M Sodium Acetate buffer, pH 4.0","900","10, 15, 20, 30 and 45","10/20/2016"
"Ropinirole HCl","Tablet","","","Refer to USP ","","","05/15/2014"
"Ropinirole HCl","Tablet (Extended Release) ","II (Paddle)","100","pH 4.0 Citrate-THAM Buffer","500","1, 2, 4, 6, 8, 12, 16, 20 and 24 hours","08/27/2009"
"Rosuvastatin Calcium","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Rotigotine","Transdermal","Paddle over Disk (Apparatus 5) ","50","Phosphate Buffer, pH 4.5 at 32°C","900","15, 30, 60, 90, 120, 150 and 180","07/15/2009"
"Rucaparib","Tablet ","II (Paddle)","75","0.01 N HCl","900","5, 10, 15, 20 and 30 ","01/19/2017"
"Rufinamide","Tablet ","","","Refer to USP ","","","08/15/2013"
"Rufinamide","Suspension","","","Develop a dissolution method","","","09/15/2023"
"Ruxolitinib Phosphate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Sacubitril/Valsartan","Tablet ","I (Basket)","75","Phosphate Buffer, pH 6.8[degassed]","900","10, 15, 20, 30 and 45","10/24/2019"
"Safinamide Mesylate","Tablet","II (Paddle)","100","0.1 N HCL with Sodium Chloride [0.2% (wt/vol) solution], pH 1.2","900","5, 10, 15, 30, 45 and 60","10/06/2023"
"Sapropterin Dihydrochloride","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Saquinavir Mesylate","Tablet","II (Paddle)","50","Citrate Buffer (pH 3.0)","900","10, 20 , 30  and 45","09/13/2007"
"Saquinavir Mesylate","Capsule","","","Refer to USP","","","09/13/2007"
"Saxagliptin HCl","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Scopolamine","Transdermal","Reciprocating disk (Apparatus 7)","Stroke depth: 2-3 cm; 30-60 cycles per minute","Distilled Water","25 × 150 mm test-tubes containing 20 mL","1, 2, 4, 6, 12, 18, 24, 36, 48, and 72 hours","07/15/2009"
"Secnidazole","Granule","I (Basket)","50","Phosphate Buffer, pH 6.8","900","0.5, 1, 1.5, 2, 2.5, 3, 3.5 and 4 hours","11/16/2017"
"Selegiline  HCl","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Selegiline (20 mg/20 cm2 and 30 mg/30 cm2)","Transdermal","Paddle over Disk (Apparatus 5) ","50","0.1 M Phosphate buffer, monobasic, pH 5 at 32°C","500","1, 2, 4, 8, 12, 16, 20 and 24 hours","07/15/2009"
"Selegiline (40 mg/40 cm2)","Transdermal","Rotating Cylinder (Apparatus 6)","50","0.1 M Phosphate buffer, monobasic, pH 5 at 32°C","1000","1, 2, 4, 8, 12, 16, 20 and 24 hours","07/15/2009"
"Selegiline HCl","Tablet (Orally Disintegrating)","","","Develop a dissolution method","","","09/15/2023"
"Selexipag","Tablet ","II (Paddle)","50","Phosphate Buffer, pH 6.8","900","5, 10, 15, 20 and 30","03/17/2016"
"Selinexor","Tablet","II (Paddle)","75","10 mM Citric Acid Buffer, pH 4.5 with 0.5% SDS","900","10, 15, 20, 30 and 45","08/19/2021"
"Selpercatinib","Capsule","II (Paddle)","75","0.1N HCl","900","5, 10, 15, 20 and 30 ","07/07/2022"
"Selumetinib","Capsule","II (Paddle) with sinker","75","Sodium Phosphate Buffer, pH 6.5, with 0.5% Polysorbate 80","1000","10, 20, 30, 45 and 60","07/07/2022"
"Semaglutide","Tablet","II (Paddle)","70","50 mM Phosphate Buffer with 0.05% Brij 35 (polyoxyethylene lauryl ether), pH 6.8","500","10, 15, 20, 30, 45, 60 and 75","08/19/2021"
"Sertraline HCl","Capsule","II (Paddle) with sinker","75","0.1 N HCl","900","10, 15, 20, 30 and 45","07/07/2023"
"Sertraline HCl","Tablet","II (Paddle)","75","0.05 M Sodium Acetate Buffer, pH 4.5","900","10, 20, 30 and 45","02/20/2004"
"Sevelamer Carbonate","Tablet","","","Disintegration Testing in 0.1 N HCl as per USP <701> ","","","10/06/2008"
"Sevelamer HCl","Capsule","","","Disintegration Testing in 0.1 N HCl as per USP <701>","","","04/09/2008"
"Sevelamer HCl","Tablet","","","Disintegration Testing in 0.1 N HCl as per USP <701>","","","04/09/2008"
"Sibutramine HCl","Capsule","II (Paddle)","50","0.05 M Acetate Buffer, pH 4.0","500","10, 20, 30, 45 and 60","02/25/2004"
